"Country
unit","1990
Mton CO2eq","1995
Mton CO2eq","2000
Mton CO2eq","2005
Mton CO2eq","2010
Mton CO2eq","2012
Mton CO2eq","2015
Mton CO2eq","2015
% world total"
Malta,2.52,2.63,2.44,3.14,3.06,3.14,2.08,0
Martinique,1.19,1.38,1.3,1.35,1.56,2.51,2.61,0.01
Mauritania,6.16,8.19,10.02,11.14,10.51,11.46,11.99,0.02
Mauritius,1.84,2.24,3.15,3.66,4.37,4.43,4.66,0.01
Mexico,459.25,527.48,624.09,699.92,759.41,780.04,770.32,1.57
Moldova,40.12,18.75,11.93,13.02,13.05,12.87,13.09,0.03
Mongolia,25.35,23.53,24.81,24.21,35.22,41.34,45.39,0.09
Morocco,39.18,44.9,51.48,63.88,72.68,80.15,84.1,0.17
Mozambique,8.38,9.6,11.6,15.54,17.49,21.58,25.97,0.05
Myanmar/Burma,68.69,77.97,83.98,102.15,109.07,110.4,129.73,0.26
Namibia,6.64,6.76,8.11,10.11,9.56,10.91,11.38,0.02
Nepal,28.94,30.91,33.23,34.83,38.6,41.1,41.81,0.09
Netherlands,220.48,234.37,230.69,225.73,222.74,210.48,207.93,0.42
New Caledonia,2.03,1.62,2.3,2.91,5.65,7.29,5.82,0.01
New Zealand,68.21,73.12,79.48,85.05,81.93,83.83,84.38,0.17
Nicaragua,9.98,10.34,12.94,14.1,15.14,16.61,18.67,0.04
Niger,12.43,15.17,17.69,21.73,26.61,28,31.99,0.07
Nigeria,330.45,365.21,314.28,311.71,293.68,316.17,309.91,0.63
North Korea,161.4,112.49,99.9,109.46,80.06,66.77,52.86,0.11
North Macedonia,14.17,11.43,11.55,12.25,11.69,12.13,10.4,0.02
Norway,62.77,66.94,70.62,72.58,74.59,70.29,71.86,0.15
Oman,41.22,37.98,42.12,55.33,74.66,89.7,104.5,0.21
Pakistan,190.31,228.47,268.18,310.85,356.08,369.73,405.4,0.83
Palau,2.27,2.48,2.2,1.81,2.18,3.7,1.24,0
Panama,7,8.97,9.69,12.23,14.69,16.09,16.7,0.03
Papua New Guinea,3.86,3.68,4.87,8.07,6.46,8.34,7.45,0.02
Paraguay,21,25.73,25.45,26.42,36.71,37.87,40.01,0.08
Peru,43.23,50.08,54.4,59.3,76.34,81.73,87.74,0.18
Philippines,106.32,132.62,146.7,159.38,170.85,179.08,208.42,0.42
Poland,513.61,476.5,415.04,412.94,423.12,413.75,397.27,0.81
Portugal,60.36,71.36,84.8,86.73,71.83,68.89,70.7,0.14
Puerto Rico,4.52,4.01,4.36,4.33,3.92,4.64,4.83,0.01
Qatar,31.45,32.39,56.37,71.23,122.83,143.75,164.12,0.33
Réunion,1.32,1.93,2.51,3.06,3.63,4.32,3.35,0.01
Romania,241.57,168.15,130.64,139.22,116.84,119.67,112.79,0.23
Russia,2996.88,2151.39,2035.72,2105.28,2179.58,2296.96,2233.88,4.55
Rwanda,3.26,3.09,3.81,4.88,6.04,6.23,6.4,0.01
"Saint Helena, Ascension and Tristan da Cunha",0.01,0.01,0.01,0.01,0.01,0.01,0.02,0
Saint Kitts and Nevis,0.06,0.06,0.07,0.1,0.17,0.28,0.26,0
Saint Lucia,0.19,0.23,0.29,0.27,0.32,0.48,0.48,0
Saint Pierre and Miquelon,0.16,0.04,0.04,0.04,0.04,0.07,0.08,0
Saint Vincent and the Grenadines,0.1,0.13,0.13,0.16,0.18,0.25,0.24,0
Samoa,0.3,0.26,0.29,0.32,0.32,0.42,0.36,0
São Tomé and Príncipe,0.09,0.1,0.11,0.13,0.22,0.25,0.24,0
Saudi Arabia,243.54,284.6,330.72,420.28,563.96,629.02,709.79,1.45
Senegal,9.87,11.25,13.55,15.85,19.18,20.3,22.47,0.05
Serbia and Montenegro,83.15,63.01,69.21,82.11,79.34,76.32,76.75,0.16
Seychelles,0.33,0.41,0.47,0.78,1.02,1.24,0.98,0
Sierra Leone,3.69,3.35,3.37,4.45,5.26,6.07,6.18,0.01
Singapore,33.62,45.08,54.68,49.04,57.98,60.19,58.37,0.12
Slovakia,71.03,52.55,49.87,49.75,47.73,45.28,43.84,0.09
Slovenia,22.34,20.85,21.08,24.1,22.96,21.43,19.25,0.04
Solomon Islands,0.23,0.21,0.3,0.33,0.34,0.49,0.3,0
Somalia,23.47,23.03,25.11,27.54,26.15,27.1,27.72,0.06
South Africa,394.07,409.21,436.96,532.18,566.59,565.57,581.47,1.18
South Korea,320.59,459.59,548.85,573.26,657.91,691.68,704.27,1.43
Spain and Andorra,299.29,327.67,392.82,449.75,367.72,361.7,349.44,0.71
Sri Lanka,19.04,20.67,23.62,27.38,28.15,32.51,35.47,0.07
Sudan and South Sudan,56.5,72.61,89.44,106.43,116.25,114.99,119.56,0.24
Suriname,1.99,1.93,2.26,2.41,2.57,2.9,3,0.01
Sweden,81.22,85.61,81.11,83.6,79.13,69.74,67.36,0.14
Switzerland and Liechtenstein,55.24,54.29,54.79,57.58,58.17,55.29,52.11,0.11
Syria,58.47,75.33,72.1,79.62,82.6,63.58,45.12,0.09
Taiwan,142,187.71,252.98,298.73,305.24,297.67,304.49,0.62
Tajikistan,22.1,11.6,10.58,12.19,12.02,13.04,15.43,0.03
Tanzania,30.66,36.41,40.49,49.45,57.92,67.16,76.97,0.16
Thailand,205.56,275.35,280.5,345.11,386.7,403.12,397.11,0.81
The Gambia,0.91,0.99,1.13,1.36,1.95,1.83,2.04,0
Timor-Leste,0.72,0.89,1.61,1.63,1.32,1.61,1.34,0
Togo,3.31,3.33,4.79,5.36,7.25,7.54,8.19,0.02
Tonga,0.15,0.18,0.2,0.21,0.27,0.41,0.21,0
Trinidad and Tobago,18.25,17.69,25.35,43.74,55.18,48.65,50.84,0.1
Tunisia,21.74,26.23,31.27,33.85,39.44,39.64,41.24,0.08
Turkey,221.12,251.53,318.63,334.54,419.86,480.26,510.29,1.04
Turkmenistan,78.49,56.33,67.8,94.98,97.86,116.13,123.7,0.25
Turks and Caicos Islands,0.01,0.01,0.02,0.01,0.12,0.2,0.18,0
Uganda,16.06,17.78,20.62,24.9,37.69,41.01,44.3,0.09
Ukraine,948.42,587.84,453.93,447.54,396.73,411.2,294.19,0.6
United Arab Emirates,80.99,108.79,117.24,155.44,209.04,225.88,246.61,0.5
United Kingdom,807.23,778.56,745.44,727.98,643.65,628.63,559.64,1.14
United States,6117.77,6476.06,7086.53,7096.98,6719.56,6429.95,6444.4,13.12
Uruguay,28.7,33.48,33.34,36.8,38.56,40.19,39.96,0.08
Uzbekistan,166.62,150.64,168.74,171.73,169.66,184.32,173.54,0.35
Vanuatu,0.49,0.47,0.49,0.5,0.62,0.73,0.6,0
Venezuela,165.55,196.94,215.82,235.98,271.95,284.34,254.4,0.52
Vietnam,99.91,126.6,156.29,216.96,282.88,282.85,335.55,0.68
Western Sahara,0.6,0.63,0.71,0.79,0.85,0.91,0.83,0
Yemen,14.46,22.44,28.84,38.37,50.35,43.14,32.39,0.07
Zambia,15.86,14.9,15.67,17.01,18.99,22.2,23.77,0.05
Zimbabwe,33.92,29.66,32.36,27.31,27.57,31.01,29.3,0.06
